Sample;Metric;Threshold;PostId;PostHistoryId;RuntimeText;TextBlockCount;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;RuntimeCode;CodeBlockCount;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode
TestManager;threeShingleOverlapNormalized;0.9;3758880;7873581;0.0;null;null;null;null;null;6250000.0;2;1;0;2;1
TestManager;threeShingleOverlapNormalized;0.9;3758880;7874248;0.0;null;null;null;null;null;6250000.0;2;2;0;2;0
TestManager;threeShingleOverlapNormalized;0.9;3758880;7874570;0.0;null;null;null;null;null;6250000.0;2;0;0;2;2
TestManager;threeShingleOverlapNormalized;0.9;3758880;7874704;0.0;null;null;null;null;null;6250000.0;2;1;0;2;1
TestManager;threeShingleOverlapNormalized;0.9;3758880;7875126;0.0;null;null;null;null;null;6250000.0;2;1;0;2;1
TestManager;threeShingleOverlapNormalized;0.9;3758880;15577610;0.0;null;null;null;null;null;6250000.0;2;2;0;2;0
TestManager;threeShingleOverlapNormalized;0.9;3758880;24534909;0.0;null;null;null;null;null;6250000.0;2;2;0;2;0
TestManager;threeShingleOverlapNormalized;0.9;3758880;130380462;0.0;null;null;null;null;null;6250000.0;2;2;0;2;0
TestManager;winnowingTwoGramDiceNormalized;0.4;3758880;7873162;0.0;3;0;0;0;0;3125000.0;3;0;0;0;0
TestManager;winnowingTwoGramDiceNormalized;0.4;3758880;7873319;0.0;2;1;0;5;0;3125000.0;2;2;0;4;0
TestManager;winnowingTwoGramDiceNormalized;0.4;3758880;7873489;0.0;2;2;0;2;0;3125000.0;2;2;0;2;0
TestManager;winnowingTwoGramDiceNormalized;0.4;3758880;7873581;0.0;2;2;0;2;0;3125000.0;2;2;0;2;0
TestManager;winnowingTwoGramDiceNormalized;0.4;3758880;7874248;0.0;2;2;0;2;0;3125000.0;2;2;0;2;0
TestManager;winnowingTwoGramDiceNormalized;0.4;3758880;7874570;0.0;2;2;0;2;0;3125000.0;2;1;0;2;1
TestManager;winnowingTwoGramDiceNormalized;0.4;3758880;7874704;0.0;2;2;0;2;0;3125000.0;2;2;0;2;0
TestManager;winnowingTwoGramDiceNormalized;0.4;3758880;7875126;0.0;2;2;0;2;0;3125000.0;2;2;0;2;0
TestManager;winnowingTwoGramDiceNormalized;0.4;3758880;15577610;0.0;2;2;0;2;0;3125000.0;2;2;0;2;0
TestManager;winnowingTwoGramDiceNormalized;0.4;3758880;24534909;0.0;2;2;0;2;0;3125000.0;2;2;0;2;0
